county,date,state,cases,deaths
Cook,2020-01-24,Illinois,1,0.0
Cook,2020-01-25,Illinois,1,0.0
Cook,2020-01-26,Illinois,1,0.0
Cook,2020-01-27,Illinois,1,0.0
Cook,2020-01-28,Illinois,1,0.0
Cook,2020-01-29,Illinois,1,0.0
Cook,2020-01-30,Illinois,2,0.0
Cook,2020-01-31,Illinois,2,0.0
Cook,2020-02-01,Illinois,2,0.0
San Francisco,2020-02-02,California,2,0.0
Cook,2020-02-02,Illinois,2,0.0
San Francisco,2020-02-03,California,2,0.0
Cook,2020-02-03,Illinois,2,0.0
San Francisco,2020-02-04,California,2,0.0
Cook,2020-02-04,Illinois,2,0.0
San Francisco,2020-02-05,California,2,0.0
Cook,2020-02-05,Illinois,2,0.0
San Francisco,2020-02-06,California,2,0.0
Cook,2020-02-06,Illinois,2,0.0
San Francisco,2020-02-07,California,2,0.0
Cook,2020-02-07,Illinois,2,0.0
San Francisco,2020-02-08,California,2,0.0
Cook,2020-02-08,Illinois,2,0.0
San Francisco,2020-02-09,California,2,0.0
Cook,2020-02-09,Illinois,2,0.0
San Francisco,2020-02-10,California,2,0.0
Cook,2020-02-10,Illinois,2,0.0
San Francisco,2020-02-11,California,2,0.0
Cook,2020-02-11,Illinois,2,0.0
San Francisco,2020-02-12,California,2,0.0
Cook,2020-02-12,Illinois,2,0.0
San Francisco,2020-02-13,California,2,0.0
Cook,2020-02-13,Illinois,2,0.0
San Francisco,2020-02-14,California,2,0.0
Cook,2020-02-14,Illinois,2,0.0
San Francisco,2020-02-15,California,2,0.0
Cook,2020-02-15,Illinois,2,0.0
San Francisco,2020-02-16,California,2,0.0
Cook,2020-02-16,Illinois,2,0.0
San Francisco,2020-02-17,California,2,0.0
Cook,2020-02-17,Illinois,2,0.0
San Francisco,2020-02-18,California,2,0.0
Cook,2020-02-18,Illinois,2,0.0
San Francisco,2020-02-19,California,2,0.0
Cook,2020-02-19,Illinois,2,0.0
San Francisco,2020-02-20,California,2,0.0
Cook,2020-02-20,Illinois,2,0.0
San Francisco,2020-02-21,California,2,0.0
Cook,2020-02-21,Illinois,2,0.0
San Francisco,2020-02-22,California,2,0.0
Cook,2020-02-22,Illinois,2,0.0
San Francisco,2020-02-23,California,2,0.0
Cook,2020-02-23,Illinois,2,0.0
San Francisco,2020-02-24,California,3,0.0
Cook,2020-02-24,Illinois,2,0.0
San Francisco,2020-02-25,California,3,0.0
Cook,2020-02-25,Illinois,2,0.0
San Francisco,2020-02-26,California,3,0.0
Cook,2020-02-26,Illinois,2,0.0
San Francisco,2020-02-27,California,3,0.0
Cook,2020-02-27,Illinois,2,0.0
San Francisco,2020-02-28,California,3,0.0
Cook,2020-02-28,Illinois,2,0.0
San Francisco,2020-02-29,California,3,0.0
Cook,2020-02-29,Illinois,3,0.0
San Francisco,2020-03-01,California,3,0.0
Cook,2020-03-01,Illinois,3,0.0
San Francisco,2020-03-02,California,3,0.0
Cook,2020-03-02,Illinois,4,0.0
San Francisco,2020-03-03,California,3,0.0
Cook,2020-03-03,Illinois,4,0.0
San Francisco,2020-03-04,California,3,0.0
Cook,2020-03-04,Illinois,4,0.0
San Francisco,2020-03-05,California,5,0.0
Cook,2020-03-05,Illinois,5,0.0
San Francisco,2020-03-06,California,5,0.0
Cook,2020-03-06,Illinois,6,0.0
San Francisco,2020-03-07,California,11,0.0
Cook,2020-03-07,Illinois,6,0.0
San Francisco,2020-03-08,California,11,0.0
Cook,2020-03-08,Illinois,7,0.0
San Francisco,2020-03-09,California,16,0.0
Cook,2020-03-09,Illinois,11,0.0
San Francisco,2020-03-10,California,17,0.0
Cook,2020-03-10,Illinois,17,0.0
San Francisco,2020-03-11,California,17,0.0
Cook,2020-03-11,Illinois,22,0.0
San Francisco,2020-03-12,California,21,0.0
